"age_cat","mortality_rate","Gender"
"0 to 4",1.05,"Female"
"0 to 4",0.95,"Male"
"5 to 9",0.4,"Female"
"5 to 9",0.325,"Male"
"10 to 14",0.325,"Female"
"10 to 14",0.25,"Male"
"15 to 19",0.575,"Female"
"15 to 19",0.625,"Male"
"20 to 24",0.95,"Female"
"20 to 24",1.1,"Male"
"25 to 29",1.2,"Female"
"25 to 29",1.55,"Male"
"30 to 34",0.975,"Female"
"30 to 34",1.375,"Male"
"35 to 39",0.625,"Female"
"35 to 39",0.9,"Male"
"40 to 44",0.525,"Female"
"40 to 44",0.675,"Male"
"45 to 49",0.425,"Female"
"45 to 49",0.5,"Male"
"50 to 54",0.35,"Female"
"50 to 54",0.45,"Male"
"55 to 59",0.375,"Female"
"55 to 59",0.375,"Male"
"60 to 64",0.5,"Female"
"60 to 64",0.5,"Male"
"65 to 69",0.425,"Female"
"65 to 69",0.4,"Male"
"70 to 74",0.75,"Female"
"70 to 74",0.75,"Male"
