"Group","State","Gender","Age.Group","COVID.19.Deaths"
"By Total","United States","Male","Under 1 year",238
"By Total","United States","Male","1-4 years",130
"By Total","United States","Male","5-14 years",231
"By Total","United States","Male","15-24 years",1737
"By Total","United States","Male","25-34 years",7407
"By Total","United States","Male","35-44 years",18263
"By Total","United States","Male","45-54 years",44756
"By Total","United States","Male","55-64 years",96105
"By Total","United States","Male","65-74 years",148105
"By Total","United States","Male","75-84 years",161657
"By Total","United States","Male","85 years and over",131038
"By Total","United States","Female","Under 1 year",192
"By Total","United States","Female","1-4 years",110
"By Total","United States","Female","5-14 years",222
"By Total","United States","Female","15-24 years",1191
"By Total","United States","Female","25-34 years",4674
"By Total","United States","Female","35-44 years",11255
"By Total","United States","Female","45-54 years",25502
"By Total","United States","Female","55-64 years",60469
"By Total","United States","Female","65-74 years",101782
"By Total","United States","Female","75-84 years",126977
"By Total","United States","Female","85 years and over",166321
