"entity","year","lifeexpectancyyears"
"Switzerland",1900,47.4799995422363
"Switzerland",1901,48.939998626709
"Switzerland",1902,50.4199981689453
"Switzerland",1903,50.0499992370605
"Switzerland",1904,49.1599998474121
"Switzerland",1905,49.6599998474121
"Switzerland",1906,50.7099990844727
"Switzerland",1907,51.1500015258789
"Switzerland",1908,52.2599983215332
"Switzerland",1909,51.6100006103516
"Switzerland",1910,52.9300003051758
"Switzerland",1911,51.7299995422363
"Switzerland",1912,54.4099998474121
"Switzerland",1913,54.189998626709
"Switzerland",1914,55.0900001525879
"Switzerland",1915,55.9000015258789
"Switzerland",1916,56.5400009155273
"Switzerland",1917,55.7599983215332
"Switzerland",1918,46.3300018310547
"Switzerland",1919,54.9199981689453
"Switzerland",1920,54.3300018310547
"Switzerland",1921,57.7999992370605
"Switzerland",1922,58.4700012207031
"Switzerland",1923,60
"Switzerland",1924,59.4700012207031
"Switzerland",1925,59.9199981689453
"Switzerland",1926,60.5999984741211
"Switzerland",1927,60.0699996948242
"Switzerland",1928,60.439998626709
"Switzerland",1929,60.1500015258789
"Switzerland",1930,61.4099998474121
"Switzerland",1931,61.2200012207031
"Switzerland",1932,61.2000007629395
"Switzerland",1933,62.3800010681152
"Switzerland",1934,62.8499984741211
"Switzerland",1935,62.0999984741211
"Switzerland",1936,63.1500015258789
"Switzerland",1937,63.4900016784668
"Switzerland",1938,63.8199996948242
"Switzerland",1939,63.9799995422363
"Switzerland",1940,63.5400009155273
"Denmark",1900,51.8699989318848
"Denmark",1901,52.5900001525879
"Denmark",1902,54.6599998474121
"Denmark",1903,54.75
"Denmark",1904,55.6800003051758
"Denmark",1905,54.310001373291
"Denmark",1906,56.4900016784668
"Denmark",1907,56.060001373291
"Denmark",1908,54.9099998474121
"Denmark",1909,57.3699989318848
"Denmark",1910,58.0299987792969
"Denmark",1911,56.9500007629395
"Denmark",1912,58.0099983215332
"Denmark",1913,58.8699989318848
"Denmark",1914,58.4500007629395
"Denmark",1915,58.3800010681152
"Denmark",1916,56.9300003051758
"Denmark",1917,57.2599983215332
"Denmark",1918,56.2799987792969
"Denmark",1919,57
"Denmark",1920,57.5499992370605
"Denmark",1921,61.7299995422363
"Denmark",1922,60.5900001525879
"Denmark",1923,61.1699981689453
"Denmark",1924,61.1199989318848
"Denmark",1925,61.9099998474121
"Denmark",1926,61.6699981689453
"Denmark",1927,61.1699981689453
"Denmark",1928,61.8699989318848
"Denmark",1929,61.9300003051758
"Denmark",1930,62.2700004577637
"Denmark",1931,61.8400001525879
"Denmark",1932,62.7000007629395
"Denmark",1933,63.6100006103516
"Denmark",1934,64.0899963378906
"Denmark",1935,62.8600006103516
"Denmark",1936,63.4700012207031
"Denmark",1937,63.9500007629395
"Denmark",1938,64.9800033569336
