"price","stock_market","month_year","adjusted_price"
80.9,"London Stock Exchange","Jan.1915",100
71.6,"London Stock Exchange","Jan.1916",88.504326328801
77,"London Stock Exchange","Jan.1917",95.1792336217552
83.3,"London Stock Exchange","Jan.1918",102.966625463535
97,"London Stock Exchange","Jan.1919",119.901112484549
104.4,"London Stock Exchange","Jan.1920",129.048207663782
65,"London Stock Exchange","Jan.1921",80.3461063040791
64.8,"London Stock Exchange","Jan.1922",80.0988875154512
88.2,"London Stock Exchange","Jan.1923",109.02348578492
85.4,"London Stock Exchange","Jan.1924",105.562422744129
56.55,"U.S., Dow−Jones","Jan.1915",100
94.7,"U.S., Dow−Jones","Jan.1916",167.462422634836
97.15,"U.S., Dow−Jones","Jan.1917",171.794871794872
76.6,"U.S., Dow−Jones","Jan.1918",135.455349248453
81.65,"U.S., Dow−Jones","Jan.1919",144.385499557913
105.9,"U.S., Dow−Jones","Jan.1920",187.267904509284
74.75,"U.S., Dow−Jones","Jan.1921",132.183908045977
80.6,"U.S., Dow−Jones","Jan.1922",142.528735632184
98.2,"U.S., Dow−Jones","Jan.1923",173.651635720601
97.8,"U.S., Dow−Jones","Jan.1924",172.944297082228
